"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CNN2",-1.43021008230845,4.67391688825682,-972.177568820533,2.62103462687822e-10,5.9229006503093e-06,9.50199586140826
"MIR33A",-1.01163245838539,0.337210819461796,-933.239812825496,3.00853388038264e-10,5.9229006503093e-06,9.49914975367491
"SNORA74C-2",-0.435882186738997,0.145294062246332,-618.40000920167,1.20565875291883e-09,1.58238692458087e-05,9.45334803719659
"TRR-ACG1-1",-0.966214166535306,0.322071388845102,-366.928234787134,7.01264239902987e-09,6.32395123372802e-05,9.30947486944188
"GHRHR",-0.97231825284243,0.602856874394242,-352.475825111423,8.03061821726015e-09,6.32395123372802e-05,9.29156444654597
"LOC107984574",-0.229023764116167,0.0763412547053888,-297.774132031185,1.41841797849963e-08,9.30813158090738e-05,9.20081668894705
"ZNG1A",-1.72661506988533,6.41179032729044,-279.216573870516,1.76225202710501e-08,9.66975876738937e-05,9.15858559899989
"CCL20",3.23225570160995,2.65331532024339,258.168528915318,2.29551711810021e-08,9.66975876738937e-05,9.10058372991808
"PMEPA1",-3.55165540305747,5.75336074371891,-248.511526401567,2.61052316229047e-08,9.66975876738937e-05,9.06954728196723
"LAT2",-2.72508135018039,2.52730760307709,-246.884436932617,2.6690105216992e-08,9.66975876738937e-05,9.06400297023672
"SLC25A20",-1.49896170597442,5.0519196106332,-240.808769509246,2.90302973537355e-08,9.66975876738937e-05,9.04243163976893
"NR1D1",0.760157871768314,2.62667384441569,237.312650134212,3.04982611911466e-08,9.66975876738937e-05,9.02936494817509
"KRTAP13-2",-1.79623722945447,0.59874574315149,-234.11474419087,3.19263635841067e-08,9.66975876738937e-05,9.01696902964537
"AIF1L",0.907745652494352,5.58050004575759,228.274661056102,3.47660394046704e-08,9.77770025371066e-05,8.99317032042616
"TRI-TAT2-3",-0.953102005350802,0.317700668450267,-195.084476429678,5.90624960401295e-08,0.000155035114605604,8.82262583342194
"STEAP4",-6.06715249691928,2.25555388144979,-190.2797431609,6.42453149939709e-08,0.000157108523988856,8.79173143977193
"ZBTB16",-2.45801921248207,4.04264382149389,-184.780685478677,7.09249806911815e-08,0.000157108523988856,8.75397103544386
"TIGD6",-0.954361036836595,3.77945543037117,-184.092786395016,7.18228636104892e-08,0.000157108523988856,8.74905601453785
"TMEM121B",-2.54561828777067,1.56851941236019,-179.380424748879,7.838765861706e-08,0.000159146211206136,8.71417109712877
"SLC38A4",-3.19836185193844,1.50357205678824,-173.438835671517,8.78190997142617e-08,0.000159146211206136,8.66696470646351
"WIPI1",-2.4470872629307,2.89734341164536,-171.615208672819,9.10065230150887e-08,0.000159146211206136,8.65170285128507
"CAMK2N1",3.01052749446112,7.52418336253413,171.327086350284,9.15237632489407e-08,0.000159146211206136,8.64925680930989
"SLC44A1",1.99059635091558,4.06637806714013,169.941075505152,9.40659185252145e-08,0.000159146211206136,8.63735489535691
"NFKB1",1.88961001392207,5.59554433242885,168.397511211744,9.70058685667513e-08,0.000159146211206136,8.62383153751925
"LOC107984727",-0.217228965370908,0.0724096551236362,-164.105464838259,1.05831942418697e-07,0.000161160683554548,8.58467729936695
"KRT18",-2.15655138636422,9.83009206736524,-163.836122241948,1.0641991599579e-07,0.000161160683554548,8.58214138207708
"LOC107987117",-0.35687130532015,0.118957101773383,-161.46512668389,1.11783116712496e-07,0.00016301290509029,8.55939959302408
"LOC105377469",-0.256731331323335,0.0855771104411117,-147.917777424399,1.50224310871731e-07,0.000197351627771193,8.41355040530219
"MIR6780B",-0.911529795544274,0.303843265181425,-147.910810236652,1.50248178579545e-07,0.000197351627771193,8.41346772801668
"IRF2BPL",0.81572233030839,5.92015531196282,147.364021188572,1.52136764765277e-07,0.000197351627771193,8.40695239362141
"PHC2",0.582679844357914,4.99807929610247,146.445486086977,1.55379195939122e-07,0.000197351627771193,8.39588736839815
"TG",-1.65856478280545,0.644908949440283,-142.008889680795,1.72367159070364e-07,0.000212087016288641,8.34024207728816
"LIFR",-3.50751859108582,4.07582977343725,-140.262058452872,1.79714909826058e-07,0.000214427116954279,8.31728651504483
"RHOU",-3.87687473618018,5.90941152386097,-138.482881847411,1.87621637062812e-07,0.000217276892285622,8.29326685887436
"SLC29A1",1.26122564866099,4.70208020948429,132.626454444847,2.17057527840152e-07,0.000231047956176888,8.20936201676049
"CCDC141",-1.83993638559107,0.886008849929158,-131.443117196345,2.23718735033792e-07,0.000231047956176888,8.19145351227178
"TP53INP1",2.11568534567726,6.21929665462872,131.403947096276,2.23943731808913e-07,0.000231047956176888,8.19085496908471
"H3P6",0.486092374485983,8.7110027903137,130.416495131645,2.29713958693726e-07,0.000231047956176888,8.17564264737557
"FICD",-2.00953828752978,4.12083181224942,-130.135896546632,2.31388744264658e-07,0.000231047956176888,8.17127614274603
"LOC105376826",2.07237945546902,1.18206674769065,127.781376211745,2.46085387166792e-07,0.000231047956176888,8.13385581366875
"SMS",-2.10786136241178,7.13444581854763,-127.048616537442,2.50905046154999e-07,0.000231047956176888,8.12191895337627
"ABCC4",-2.51011415052182,7.06728638592926,-126.721912845873,2.53093354885607e-07,0.000231047956176888,8.11655128885411
"SAT1",-2.08974049291032,7.95856603011235,-126.17945848671,2.56781750312526e-07,0.000231047956176888,8.10757614781967
"GRIN3A",-1.75457029227551,2.59727077441906,-125.507037204972,2.61451178023044e-07,0.000231047956176888,8.09634079971377
"TSPAN9",0.412202040690699,3.69936213316453,124.588445475295,2.68009565354933e-07,0.000231047956176888,8.08079286401888
"SDCBP2",2.27210108660939,3.13169245094564,123.26481416413,2.77839891719143e-07,0.000231047956176888,8.05797633582374
"TRPM8",-3.4368267556992,3.57381393674075,-123.132335455511,2.7884934766175e-07,0.000231047956176888,8.055665413703
"GASK1B",2.6708413197577,5.44221814307356,122.765998084046,2.8166561427568e-07,0.000231047956176888,8.0492489640765
"LOC107986343",-3.40990342867127,3.01933257796261,-121.87656215251,2.88658362213299e-07,0.000231951721505846,8.03350893946012
"PCDH11Y",2.70642462352571,5.07997635597128,117.822955810324,3.23540047337416e-07,0.000246987965853931,7.95876947836
"ZBTB43",1.98433783342228,4.21251564272498,117.628995615949,3.25342785615631e-07,0.000246987965853931,7.95506530325484
"LY75-CD302",0.191427180306678,0.688714695864833,117.538406424318,3.26189216853874e-07,0.000246987965853931,7.9533311407223
"SOCS2",-3.45404368403326,3.05426024213268,-116.807260078681,3.33126387961147e-07,0.0002474814792374,7.9392378435522
"ANKH",-2.19084404046189,5.48742299415957,-115.76783544562,3.43321430862051e-07,0.000248392178163698,7.918901720812
"MANEA",2.13776681071279,6.50312509675207,115.405595220092,3.46969314750936e-07,0.000248392178163698,7.91173039397349
"PCNA-AS1",1.18541053057589,7.21002142070943,114.680404838807,3.54424559927414e-07,0.000249198439688964,7.89724098146463
"TMEM140",0.862692433858077,5.30616840647704,113.522702724502,3.66762310329781e-07,0.000253349108893417,7.87373722842214
"CREB3L4",-1.89550442797887,7.31807526286806,-112.38965016003,3.79381885898583e-07,0.000257547971989152,7.85028054837638
"SLC35F2",-1.91944374357177,6.17134731031302,-111.488157178764,3.8982714711489e-07,0.000260153459161046,7.83128993253836
"ECI2",-1.74685432295386,7.72016596034024,-109.289427426545,4.1691328331369e-07,0.000273592393619887,7.78371648695425
"CAMKK2",-1.74070210842063,6.1111725038387,-106.876045269089,4.49521696690357e-07,0.000290155201401412,7.72936493440881
"CCNI",0.863088028749356,9.06902812966672,105.804657163401,4.65057715641609e-07,0.000295341653156011,7.70449045388031
"EI24",0.505178047383002,7.71397500543925,104.415004748412,4.86262265890928e-07,0.000303906197733165,7.67151877324671
"CENPN-AS1",-3.15764333484471,3.97950687346065,-103.1007200178,5.0748426167894e-07,0.000306388898752941,7.63957874754572
"RAB27A",-1.6769477565286,2.82426138248734,-102.572009261426,5.16359820905136e-07,0.000306388898752941,7.6265174267643
"PRKD1",1.41414162268822,6.04330414837198,101.537245947913,5.34321182970944e-07,0.000306388898752941,7.60059408799865
"MAP3K8",1.54164808482512,1.86858197769765,101.431536691607,5.36201393852963e-07,0.000306388898752941,7.59791861561506
"HMGA1",0.82993456878331,6.57385190337946,101.290186053801,5.38728969546477e-07,0.000306388898752941,7.59433311492572
"SDK1",-1.66654878362771,0.753584283178621,-100.985047165928,5.44238230033816e-07,0.000306388898752941,7.58656179800719
"ADD3",1.30455129785243,3.80267530912242,100.797148555625,5.47667095212529e-07,0.000306388898752941,7.58175507995239
"NDRG1",-3.2478493898974,6.96134309200565,-100.535601032242,5.52486712334504e-07,0.000306388898752941,7.5750371448895
"LOC105371701",-3.86344336102326,3.08637976791803,-98.2803877799749,5.96415443993987e-07,0.000320933265327697,7.51577201870577
"MIR6076",-0.694849674122181,0.231616558040727,-97.9392734262807,6.03449479593909e-07,0.000320933265327697,7.50659425075163
"HMGXB3",-1.27621211463957,5.99465534572504,-97.8838277782725,6.04602954023822e-07,0.000320933265327697,7.50509706133029
"FOLH1",1.20838550125693,8.40067635095015,97.2204444208295,6.18628080068801e-07,0.000320933265327697,7.48706553792854
"ATP1A1",-1.11333987064227,7.09875883122533,-97.1813420553504,6.19467876388098e-07,0.000320933265327697,7.48599583654125
"TSC22D1",-1.40217980597873,5.79378794252703,-95.5751550126479,6.55279307946686e-07,0.000332493899918094,7.4413850117266
"C1orf116",-2.33147277453465,6.58416060295454,-95.4165646694486,6.5895930767555e-07,0.000332493899918094,7.43690817258801
"SPAG1",0.836546005917298,3.04785016789742,94.8539246296911,6.72233201530521e-07,0.000332493899918094,7.42091900269272
"ERRFI1",-3.62329668084814,5.07858265189064,-94.6299382322348,6.77613944159137e-07,0.000332493899918094,7.41450717725628
"SEC14L2",-2.32480640977827,3.0581973551064,-94.3668794419977,6.84004822811134e-07,0.000332493899918094,7.40694273612982
"TYMSOS",0.971592318938226,5.13372463846106,93.4837239006682,7.06040601326676e-07,0.000338423280201757,7.38127439266796
"ZNF812P",-2.93382605269299,4.54274915294163,-92.6961493752896,7.26473812159457e-07,0.000338423280201757,7.35802429857155
"FBXO9",0.667779502156878,5.83467399180385,91.9400670470434,7.46816987352043e-07,0.000338423280201757,7.33537862232556
"NCAPD3",-3.63741118110886,6.59668754372906,-91.7350471774623,7.52460213823367e-07,0.000338423280201757,7.32918232336144
"TBC1D1",-1.59796375342318,4.58662737957945,-91.6328904477791,7.55292744419085e-07,0.000338423280201757,7.3260859063911
"HOMER2",-2.23404743234704,4.31768265307231,-91.3312198944739,7.63738339765298e-07,0.000338423280201757,7.31690725008826
"PSME1",0.877028597210124,8.01698803844965,91.0573038633119,7.71513259107707e-07,0.000338423280201757,7.30852766328754
"PACS1",-2.18214278009576,5.19755282290724,-91.0482589576244,7.7177173872017e-07,0.000338423280201757,7.30825022296089
"FAM174B",-1.554239789682,5.69234765898882,-90.9858400102271,7.73558572107436e-07,0.000338423280201757,7.30633431179437
"SLC41A1",-2.52615597198092,6.13074255899376,-89.4232748142754,8.20091086090418e-07,0.000349485654391722,7.25762610629634
"BARD1",2.44503271803894,5.76744068631871,89.3793321641333,8.21451460408134e-07,0.000349485654391722,7.25623530101749
"TIPARP",-1.78595982873346,2.96710632915888,-89.2499851216187,8.25472795713673e-07,0.000349485654391722,7.2521346368714
"ACSL3",-3.2906908509811,7.76700302840274,-88.0759818919909,8.63165674076062e-07,0.00035661331111521,7.21444818591888
"PTPRM",-2.03147188443781,4.47591375155293,-87.988471701841,8.66063875199278e-07,0.00035661331111521,7.21160494413933
"FKBP5",-4.70463256567462,6.29511362816469,-87.7111950578832,8.75330560696222e-07,0.00035661331111521,7.20256448183494
"KRTAP13-3",-0.178680142803433,0.0595600476011442,-87.0548690462427,8.97783071250939e-07,0.00035661331111521,7.18097208122824
"RUNX1",-1.50148339425236,0.940713922348772,-87.052223778844,8.97875065905924e-07,0.00035661331111521,7.18088450092512
"MBNL2",1.72972095958521,2.31333616240095,86.9315440838797,9.02084979800299e-07,0.00035661331111521,7.17688424186319
"AIDA",1.92117638175324,8.47980284581196,86.8282824180256,9.05707601755498e-07,0.00035661331111521,7.17345394183643
"MYBPC1",-4.2715591119907,2.09639632008513,-85.85288214085,9.40875141630413e-07,0.000365980173494332,7.14071118134445
"C12orf75-AS1",-0.178107441161952,0.0593691470539842,-85.4647003094879,9.55362828684324e-07,0.000365980173494332,7.12750711416232
"LRRC2",0.0595587152808579,0.0198529050936193,85.1139125963702,9.6870458419091e-07,0.000365980173494332,7.1154888967013
"F5",-3.47130917499245,1.9176601023878,-85.0998899407015,9.69242923435634e-07,0.000365980173494332,7.11500676116829
"ARHGAP29",1.52812856139251,4.73836018238637,84.9254605969892,9.75971915906559e-07,0.000365980173494332,7.10899838636022
"DGKH",2.59252605718876,2.9313101371688,84.5375863663234,9.91153503359691e-07,0.000368166773974382,7.09556411913812
"ATP1B1",1.93803124287013,7.57640647518484,84.2276674954315,1.00350455924337e-06,0.000369270920706995,7.08475638096292
"ARSG",-1.84269183766398,3.33488677870609,-83.556164619313,1.03095802460901e-06,0.000374054470994585,7.06111261709021
"HIRIP3",0.261391724376292,5.23219346647365,83.4472063364099,1.03550407219002e-06,0.000374054470994585,7.0572466664458
"SUSD6",1.2452325652949,4.22028451973865,82.9013711761164,1.05867324416325e-06,0.000378947275597127,7.03775447694041
"UAP1",-1.91315930359287,8.16067814045634,-82.6606501145076,1.0691047179965e-06,0.00037923359609364,7.02909120639088
"GRB10",2.20351568390707,5.2602614696712,82.4276576267993,1.07932852509725e-06,0.00037944179774267,7.02066672023411
"CPNE3",1.29867822389933,8.00530283914696,81.1186592227861,1.13918754726496e-06,0.000396941331734608,6.97260547760177
"SDC2",1.05053526705563,3.51613797050532,80.7625244726259,1.15621425199338e-06,0.000397089053751402,6.95931140634412
"ABHD3",-1.38479350814913,5.40406168599745,-80.6887695907654,1.15978161175931e-06,0.000397089053751402,6.95654638563389
"TNFRSF21",3.41982217689224,4.6690514873661,79.2852954594372,1.23046859879727e-06,0.000417639138252737,6.90314438690749
"TIMM10B",-0.734679650573733,5.22020450922374,-78.9788895561112,1.24663846387859e-06,0.000417639138252737,6.89128378436085
"PTPN1",-0.549724295812565,5.26375109457542,-78.4890952816949,1.27306296679517e-06,0.000417639138252737,6.87217125677229
"LOC105372809",-3.2665930076258,1.85109936701557,-78.3745194275295,1.27934890620115e-06,0.000417639138252737,6.86767291279131
"LOC100508046",-2.94508040239962,1.84629358722212,-78.3599424933475,1.28015151870111e-06,0.000417639138252737,6.86709986067551
"SLC2A3",-3.23594426422971,1.30214309802632,-78.3002633021339,1.28344429645404e-06,0.000417639138252737,6.86475197014798
"ELL2",-2.99142807161917,5.23385528504412,-77.9002484050583,1.30580084407322e-06,0.00042143116749622,6.84894100778244
"RAB4A",-1.94735177611978,6.24633429301563,-77.6832645381603,1.31813930600464e-06,0.000421954610037615,6.84031058948594
"REP15",-3.11141600213504,1.66436080620966,-77.1397776451447,1.34971414601449e-06,0.000428198953833436,6.81852548636264
