"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa04060","hsa04060","Cytokine-cytokine receptor interaction",296,0.624169454053365,1.90999162051635,2.87288174006019e-10,9.88271318580706e-08,7.56021510542155e-08,2255,"tags=14%, list=6%, signal=13%","CCL20/IL32/TNFRSF21/CCL2/TNFSF15/TNFSF18/IL2RG/TNF/CXCL10/TNFRSF12A/LTB/CCL8/GDF15/IL6ST/IL17C/FAS/IL1RN/ACKR3/TNFSF13/IL4R/TNFRSF10D/IL15/CXCL8/IFNGR2/IFNGR1/TNFRSF19/LIF/TNFSF10/IL27RA/CSF1/CXCL11/IL36G/TNFRSF14/CCL27/TNFRSF10B/CX3CL1/IL17RE/IFNAR1/IL23A/TNFRSF25/CCL5"
"hsa04621","hsa04621","NOD-like receptor signaling pathway",186,0.653673034770469,1.9224091926438,2.1037588835103e-08,3.61846527963771e-06,2.7681037940925e-06,5211,"tags=32%, list=14%, signal=27%","BIRC3/CCL2/GBP2/TNFAIP3/TNF/GBP3/NFKB1/NFKBIA/IKBKE/CASP4/NFKBIB/GABARAPL1/CXCL8/TRAF3/ANTXR1/NAIP/ITPR2/JUN/RNASEL/ERBIN/TICAM1/CASP8/MAP1LC3B/GBP1/TRAF2/OAS1/IRF3/IFNAR1/IKBKG/TAB3/CCL5/ITPR1/IKBKB/RELA/TANK/BIRC2/STAT2/MCU/MAP1LC3B2/PANX1/TYK2/CASP5/OAS3/GABARAPL2/JAK1/XIAP/CTSB/RIPK2/IRF7/RBCK1/TXNIP/ATG16L1/TAB2/MAPK10/MAPK3/TRIP6/GBP4/GSDMD/PKN2"
"hsa04110","hsa04110","Cell cycle",158,-0.672672528301619,-1.91461284734976,5.84134574832904e-08,6.69807645808397e-06,5.12398749853425e-06,3391,"tags=44%, list=9%, signal=40%","RB1/CDK4/DBF4B/TGFB2/PRKDC/CDC25B/BUB3/RAD21/PTTG1/CDC23/SMC1A/STAG1/GADD45B/CCNB1/CCNE1/TFDP1/SMC3/CDK6/SFN/PLK1/CDC20/CDC25C/CCNB2/CCND3/YWHAH/MCM7/PDS5B/BUB1/CHEK2/KNL1/RBL1/ESPL1/MTBP/NDC80/CDK1/SGO1/CDC7/BUB1B/TRIP13/FBXO5/TTK/CCNE2/CCNA2/DBF4/MCM5/CDCA5/ESCO2/CHEK1/PCNA/MCM3/MCM2/CDT1/MCM6/MAD2L1/AURKB/PKMYT1/E2F2/ORC5/CDKN2C/CDC25A/ORC1/MCM4/TICRR/SKP2/ORC6/CDC45/CDK2/CDKN2D/CDC6/E2F1"
"hsa04622","hsa04622","RIG-I-like receptor signaling pathway",72,0.767644197770002,1.97800118747716,8.10942171788023e-07,6.974102677377e-05,5.33514586702647e-05,2655,"tags=32%, list=7%, signal=30%","TNF/NFKB1/CXCL10/NFKBIA/RIGI/IKBKE/NFKBIB/CYLD/CXCL8/CASP10/TRAF3/IFIH1/ISG15/CASP8/TRAF2/IRF3/ZNFX1/TBKBP1/IKBKG/OTUD5/IKBKB/RELA/TANK"
"hsa03030","hsa03030","DNA replication",36,-0.871002809648714,-1.9735074701435,1.0391737364536e-06,7.14951530680079e-05,5.46933545501897e-05,2569,"tags=81%, list=7%, signal=75%","POLE4/RPA3/RPA1/POLE3/POLE/RFC1/RPA2/MCM7/LIG1/POLD1/RNASEH2A/RFC5/POLA1/POLD3/RFC2/RFC4/PRIM1/POLA2/POLE2/MCM5/DNA2/PCNA/MCM3/MCM2/MCM6/FEN1/MCM4/RFC3/PRIM2"
"hsa04061","hsa04061","Viral protein interaction with cytokine and cytokine receptor",98,0.698541220085133,1.8856662124953,2.96892174015696e-06,0.000145901296944856,0.000111613599254021,1780,"tags=17%, list=5%, signal=17%","CCL20/CCL2/IL2RG/TNF/CXCL10/CCL8/IL6ST/ACKR3/TNFRSF10D/CXCL8/TNFSF10/CSF1/CXCL11/TNFRSF14/CCL27/TNFRSF10B/CX3CL1"
"hsa04668","hsa04668","TNF signaling pathway",119,0.679073415921078,1.8706847662162,2.96692386283839e-06,0.000145901296944856,0.000111613599254021,2713,"tags=32%, list=7%, signal=30%","CCL20/BIRC3/CCL2/TNFAIP3/TNF/IRF1/JUNB/NFKB1/CXCL10/NFKBIA/MAP3K8/FAS/BCL3/PIK3R3/P3R3URF-PIK3R3/CYLD/CREB3/IL15/CASP10/TRAF3/LIF/JUN/CSF1/CASP8/CASP7/TRAF2/ADAM17/ATF6B/CX3CL1/RHBDF1/IKBKG/TAB3/CCL5/MAP2K3/CREB5/IKBKB/RELA/BIRC2"
"hsa05169","hsa05169","Epstein-Barr virus infection",202,0.588502044132561,1.74327521159362,3.5548837159992e-06,0.000152859999787966,0.000116936964342079,3919,"tags=30%, list=10%, signal=27%","RELB/TNFAIP3/TNF/NFKB2/NFKB1/CXCL10/TAPBP/NFKBIA/NFKBIE/RIGI/IKBKE/TAP1/GADD45G/HLA-A/HLA-B/NFKBIB/CDKN1A/B2M/FAS/HLA-DQB1/HLA-C/PIK3R3/BLNK/P3R3URF-PIK3R3/HLA-E/TP53/TRAF3/JUN/HLA-F/LYN/MDM2/BID/ENTPD8/ISG15/HLA-DQB2/CASP8/TRAF2/BAX/OAS1/IRF3/HLA-DRA/IFNAR1/IKBKG/HLA-G/CD58/MAP2K3/IKBKB/RELA/STAT2/PLCG2/RAC1/TYK2/OAS3/TAP2/CIR1/SEM1/CDKN1B/TRADD/JAK1/PSMD4"
"hsa04217","hsa04217","Necroptosis",158,0.615229420115414,1.77809548277173,1.03796484849748e-05,0.000377318295535343,0.000288646186915042,4824,"tags=37%, list=13%, signal=32%","BIRC3/SQSTM1/TNFAIP3/TNF/PLA2G4C/H2AC19/H2AC18/FAS/TLR3/FTH1/CYLD/H2AC13/H2AC20/IFNGR2/IFNGR1/GLUL/H2AC6/H2AC8/H2AC15/TNFSF10/STAT5A/TICAM1/BID/PLA2G4A/CHMP4C/CASP8/TRAF2/TNFRSF10B/BAX/IFNAR1/FTL/CHMP4B/CHMP4A/CHMP2B/CHMP1B/CHMP2A/H2AC17/BIRC2/H2AC7/STAT2/H2AC4/TNFRSF1A/TYK2/CAPN1/CHMP6/CHMP5/TRADD/JAK1/SLC25A6/STAT3/XIAP/RBCK1/RNF103-CHMP3/MAPK10/H2AC25/CHMP3/CAPN2/H2AC11"
"hsa05171","hsa05171","Coronavirus disease - COVID-19",234,0.566112010955537,1.7072062334324,1.09685551027716e-05,0.000377318295535343,0.000288646186915042,7643,"tags=41%, list=20%, signal=33%","CCL2/TNF/NFKB1/CXCL10/NFKBIA/CFB/RIGI/IKBKE/IL6ST/NFKBIB/TLR3/PIK3R3/P3R3URF-PIK3R3/CXCL8/HBEGF/TRAF3/IFIH1/JUN/C1S/ISG15/RPS27L/MX1/ADAM17/OAS1/IRF3/ACE2/IFNAR1/IKBKG/IKBKB/RELA/STAT2/PLCG2/TNFRSF1A/C1R/TYK2/OAS3/RPL21/RPL36A-HNRNPH2/FCGR2A/ADAR/IL12A/JAK1/RPL28/RPL5/RPL37/STAT3/RPL36A/IL6R/PIK3CD/FOS/TAB2/MAPK10/C8G/FGA/RPS29/MAPK3/RPS27/RPL36AL/RPS25/RPS19/RPL30/RPS4Y1/RPL8/RPS9/RPS26/RPS7/MMP1/MYD88/RPLP2/RPL19/RPL23/TBK1/RPS16/TRAF6/RPL31/RPL10/RPS12/RPS28/RPL38/RPL36/PIK3R1/RPS13/RPL13A/RPS20/RPL37A/TLR2/RPL41/RPL10A/RPL12/PIK3CA/RPS27A/FAU/RPL27A/C5AR1/C4A"
