"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CCL20",5.59610083117005,2.65331532024339,446.974884606238,3.60409251647544e-09,0.000141907538743704,8.82122525702279
"GHRHR",-0.836252370340295,0.602856874394242,-303.15047915165,1.33533687435886e-08,0.000205432547692716,8.69941599979283
"SDCBP2",5.33081686888415,3.13169245094564,289.20462850823,1.56524011550299e-08,0.000205432547692716,8.67785330676793
"CNN2",-0.388007270154449,4.67391688825682,-263.745843529923,2.13584921158917e-08,0.00021024231714278,8.63007324138917
"PMEPA1",-2.57080521910744,5.75336074371891,-179.88083205694,7.76545663370167e-08,0.000611514178990739,8.32894572800581
"NFKB1",1.75060512649928,5.59554433242885,156.009729121364,1.25522848621859e-07,0.000663998856256538,8.16221084600045
"TNFAIP3",2.30837462515541,2.38489596771098,153.808139867327,1.31686443390237e-07,0.000663998856256538,8.14361173508536
"PMS1",-0.399308639616885,3.58778787606946,-152.655663087509,1.35069728301707e-07,0.000663998856256538,8.1336187060113
"LAT2",-1.57034538029872,2.52730760307709,-142.268719786704,1.71307716422537e-07,0.000663998856256538,8.03481513919458
"ZBTB16",-1.87100070095172,4.04264382149389,-140.65178591661,1.78040913986625e-07,0.000663998856256538,8.01788744356697
"IL32",4.59635589367807,4.55300953883665,138.949997044377,1.85502804358763e-07,0.000663998856256538,7.99957756425685
"GRIN3A",-1.82833823784392,2.59727077441906,-130.783768681475,2.27545510755437e-07,0.000746614745040382,7.90407131059251
"PSME1",1.16511662103861,8.01698803844965,120.967980446241,2.96035801262451e-07,0.000896624126069828,7.76995316126979
"ZBTB43",1.91680240352519,4.21251564272498,113.625582158078,3.65643590529535e-07,0.00102834648096499,7.65301507612163
"TRPM8",-3.06715390742418,3.57381393674075,-109.887943346682,4.09304639413301e-07,0.00107439739148395,7.58709784276068
"USP54",1.43581089955838,6.28626394407291,99.8051553301474,5.66241297278536e-07,0.0013044829614231,7.38385928118646
"HIRIP3",-0.307972870333777,5.23219346647365,-98.3178626564431,5.95649177118671e-07,0.0013044829614231,7.35033056658243
"LOC112268037",-0.79309119425922,5.43948489696691,-95.5964809157637,6.54786486376184e-07,0.0013044829614231,7.28632806294153
