"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa04110","hsa04110","Cell cycle",158,-0.727938803101541,-2.11118853280944,1e-10,3.44e-08,2.96842105263158e-08,3607,"tags=51%, list=10%, signal=47%","DBF4B/CDC25B/CUL1/RB1/E2F3/ORC2/PPP2R5A/CDC27/HDAC1/CCND1/STAG1/PTTG1/TFDP2/PDS5A/BUB3/DDX11/CCNH/HDAC2/SMC1A/CDKN2D/CCNB1/SMAD3/CCND3/ANAPC1/PLK1/CDC20/TP53/RAD21/CDC25C/GADD45A/CDK4/BUB1/PRKDC/YWHAH/DBF4/SMC3/CDKN2C/SGO1/MTBP/CCNB2/CCNE1/CDC25A/TFDP1/MYC/CDK2/TRIP13/KNL1/CHEK2/TTK/FBXO5/ESPL1/CCNA2/CDC7/NDC80/WEE1/AURKB/MAD2L1/SKP2/CDK1/MCM7/BUB1B/PKMYT1/TICRR/RBL1/CDC6/CHEK1/CDCA5/MCM5/ESCO2/E2F2/MCM6/CDC45/CDT1/MCM3/PCNA/ORC6/ORC1/MCM2/E2F1/MCM4/CCNE2"
"hsa03030","hsa03030","DNA replication",36,-0.897942138906965,-2.08917498469964,3.03545270688872e-09,5.22097865584859e-07,4.50525085969799e-07,2198,"tags=83%, list=6%, signal=79%","RPA3/POLD2/RFC1/POLE/RNASEH2B/RPA1/RFC5/POLE3/POLE2/POLA1/POLD1/LIG1/RPA2/POLD3/RNASEH2A/PRIM2/DNA2/POLA2/RFC2/MCM7/FEN1/RFC4/RFC3/MCM5/PRIM1/MCM6/MCM3/PCNA/MCM2/MCM4"
"hsa04141","hsa04141","Protein processing in endoplasmic reticulum",170,0.652572133517433,1.87616209593167,1.85915976579012e-08,2.13183653143934e-06,1.83958966299233e-06,5227,"tags=56%, list=14%, signal=48%","SEC24D/ERN1/RRBP1/EDEM3/DNAJC10/ERLEC1/SELENOS/DNAJC3/SYVN1/WFS1/HERPUD1/EDEM2/SSR2/EDEM1/ERO1A/UBE2J1/SEC24B/SSR3/DERL2/EIF2AK3/MMP24-AS1-EDEM2/XBP1/HYOU1/SEC61G/SAR1B/LMAN1/HSPA5/CAPN2/TRAM1/PPP1R15A/SEC24C/SEC61B/OSTC/SSR1/NSFL1C/SEC23B/MOGS/SEC24A/P4HB/DNAJB2/UBE2G1/SEC13/STT3A/CALR/SIL1/SSR4/SEC31A/PDIA4/TUSC3/LMAN1L/OS9/LMAN2/ATF6B/RNF185/DDIT3/CRYAB/TXNDC5/UBXN1/HSP90B1/TMEM258/PDIA3/DNAJB12/DDOST/ERO1B/UBXN6/RPN1/PREB/SEC63/UBXN4/DNAJB11/PDIA6/SEC61A1/YOD1/SEC62/SEL1L/DAD1/SEC31B/MAGT1/CANX/DERL1/NPLOC4/ATXN3/MAN1A2/UBE2J2/CKAP4/ATF6/MAN1B1/BCAP31/HSPA1A/UGGT1/VCP/MBTPS2/UBXN8/DNAJC1/DNAJC5"
"hsa03460","hsa03460","Fanconi anemia pathway",54,-0.809770125049852,-2.02802136971824,3.99583292960602e-08,3.43641631946118e-06,2.96532864776026e-06,2512,"tags=57%, list=7%, signal=54%","TELO2/PALB2/FAN1/CENPS-CORT/RPA3/CENPS/REV3L/FANCE/FANCL/POLH/EME1/RAD51C/TOP3A/RPA1/FANCM/FANCC/FANCA/RMI1/FANCB/USP1/RPA2/FANCG/FANCD2/BRCA2/FANCI/BLM/UBE2T/RAD51/BRIP1/BRCA1/RMI2"
"hsa05322","hsa05322","Systemic lupus erythematosus",135,0.672972392699116,1.89313066730466,1.47889210755852e-07,1.01747777000026e-05,8.77994893329482e-06,3467,"tags=34%, list=9%, signal=31%","H2BC21/H2BC18/H2BC5/H2BC4/H4C8/H2BC7/H4C5/H2AC19/H2AC18/H3C6/H2AC7/H2AC6/H4C16/H2AC20/H2BC6/C2/H2AC8/HLA-DMA/H2AC21/H3C4/H2BC8/H4C2/H2BC11/H3C14/TNF/H2BC13/H3C15/H2AC13/H4C14/H2AC17/H4C15/LOC102724334/H2BC12L/H2BC3/H4C12/H2AC15/H2AJ/H4C11/H3C13/C8G/H3-5/H2AC14/H2BC12/H2BC15/C1S/H2AC11"
"hsa03013","hsa03013","Nucleocytoplasmic transport",108,-0.665619888246059,-1.84124802673443,1.74941432978677e-06,0.000100299754907775,8.65499721052404e-05,5566,"tags=61%, list=15%, signal=52%","IPO4/EEF1A1/TNPO2/MAGOHB/GLE1/RANGAP1/TPR/UPF3B/SUMO1/SRRM1/NUP214/SUMO3/DDX39B/UPF2/MAGOH/AHCTF1/PNN/NUP37/TNPO3/RANBP17/NUP42/RAE1/THOC7/TNPO1/XPO4/NUP62/IPO11/THOC1/UBE2I/THOC6/SUMO2/XPO5/KPNB1/NUP88/XPO7/NUP43/EEF1A2/EIF4A3/NUP133/XPO1/NCBP1/XPOT/NUP50/RNPS1/IPO7/ALYREF/NXT1/NUP188/IPO9/NUP153/KPNA2/NUP35/SEH1L/RAN/IPO5/NUP107/NUP85/NUP160/NUP54/NUP210/THOC3/NUP205/NUP93/NUP155/NDC1/CSE1L"
"hsa03440","hsa03440","Homologous recombination",41,-0.807702794250311,-1.91259248190088,5.20514019393403e-06,0.000255795460959044,0.000220729253336751,2781,"tags=63%, list=7%, signal=59%","RAD51B/PALB2/RPA3/POLD2/EME1/RAD51C/RAD51D/NBN/TOP3A/RPA1/MRE11/RAD54B/XRCC3/TOPBP1/POLD1/RPA2/POLD3/RBBP8/BRCA2/BLM/RAD51/BRIP1/BRCA1/XRCC2/RAD54L/BARD1"
"hsa03410","hsa03410","Base excision repair",44,-0.769594471494421,-1.83673036988176,4.11733818663923e-05,0.00177045542025487,0.00152774916925298,3288,"tags=59%, list=9%, signal=54%","MUTYH/NEIL2/XRCC1/NTHL1/MBD4/APEX1/POLD2/RFC1/HMGB1/POLE/TDP1/RFC5/PARP1/PARP2/POLE3/POLE2/POLD1/LIG1/POLD3/RFC2/UNG/FEN1/RFC4/RFC3/NEIL3/PCNA"
"hsa03420","hsa03420","Nucleotide excision repair",62,-0.694070944931359,-1.76963326805673,8.50051627272531e-05,0.00324908621979723,0.00280367905135502,5750,"tags=55%, list=15%, signal=47%","POLR2C/CUL4A/ERCC1/GTF2H1/POLE4/RAD23A/GTF2H2C/POLR2E/GTF2H2/POLR2H/POLR2B/XPA/POLR2I/GTF2H3/POLR2M/RPA3/POLD2/RFC1/POLR2D/CCNH/POLE/RPA1/RFC5/POLE3/DDB2/POLE2/POLD1/LIG1/RPA2/POLD3/RFC2/RFC4/RFC3/PCNA"
"hsa05034","hsa05034","Alcoholism",187,0.551121133322375,1.59835635367849,0.000134378511345977,0.00446227844609754,0.00385055851223839,4160,"tags=33%, list=11%, signal=30%","H2BC21/H2BC18/H2BC5/H2BC4/H4C8/H2BC7/H4C5/H2AC19/CREB3L4/H2AC18/H3C6/H2AC7/H2AC6/ADORA2A/H4C16/H2AC20/H2BC6/CREB3/H2AC8/H2AC21/PPP1CB/SLC6A3/CREB3L2/SHC2/H3C4/CAMKK2/H2BC8/H4C2/H2BC11/H3C14/H2BC13/CAMK4/H3C15/HDAC6/H2AC13/H4C14/H2AC17/H4C15/LOC102724334/H2BC12L/H2BC3/H4C12/H2AC15/H2AJ/ATF6B/H4C11/H3C13/SHC1/GNB2/H3-5/H2AC14/H2BC12/H2BC15/CREB3L1/H2AC11/GRIN3B/ATF2/H3-3B/H4C9/ARAF/GNGT2/H4C3"
