"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"MIR33A",1.01163245838539,0.337210819461796,933.239812825496,3.00853388038264e-10,1.18458013006186e-05,9.0622337881815
"CNN2",1.042202812154,4.67391688825682,708.43172529061,7.62272408715476e-10,1.50068569103816e-05,9.04179112896079
"SNORA74C-2",0.435882186738997,0.145294062246332,618.40000920167,1.20565875291883e-09,1.58238692458087e-05,9.02684316217822
"TRR-ACG1-1",0.966214166535306,0.322071388845102,366.928234787134,7.01264239902987e-09,6.90289454548505e-05,8.91459272444645
"AIF1L",-1.27102126249041,5.58050004575759,-319.629124185644,1.11699041365103e-08,8.79607610941916e-05,8.86156451083708
"LOC107984574",0.229023764116167,0.0763412547053888,297.774132031185,1.41841797849963e-08,9.30813158090738e-05,8.82875785704168
"KRTAP13-2",1.79623722945447,0.59874574315149,234.11474419087,3.19263635841067e-08,0.000179581234251517,8.6815294479489
"SLC29A1",-2.11920687767745,4.70208020948429,-222.849015733142,3.77044989372726e-08,0.000185572117644521,8.64321702638737
"ZNG1A",1.32276905289317,6.41179032729044,213.909312742943,4.3288129826911e-08,0.000189380758200532,8.60898343751439
"TRI-TAT2-3",0.953102005350802,0.317700668450267,195.084476429678,5.90624960401295e-08,0.000190714686933939,8.52328565458476
"SLC25A20",1.1936750392313,5.0519196106332,191.764350113488,6.25830428444235e-08,0.000190714686933939,8.50591068397832
"TNFAIP3",2.8395383158873,2.38489596771098,189.199838574393,6.54905602415464e-08,0.000190714686933939,8.49195960018559
"CCL20",2.3638451295601,2.65331532024339,188.80635569092,6.59520597569558e-08,0.000190714686933939,8.4897766508948
"PCNA-AS1",-1.93560364757067,7.21002142070943,-187.256485567946,6.78113886593981e-08,0.000190714686933939,8.48106582287735
"HIRIP3",-0.569364594710069,5.23219346647365,-181.765068992853,7.49726220847202e-08,0.000196798134797585,8.44869412673146
"STEAP4",5.56758830394773,2.25555388144979,174.612270424839,8.58443546444391e-08,0.000199933739987247,8.40269532718826
"NR1D1",-0.553327755296638,2.62667384441569,-172.742637916511,8.90186015154654e-08,0.000199933739987247,8.38989340676421
"KRT18",2.2560543889258,9.83009206736524,171.395499771367,9.14006024221682e-08,0.000199933739987247,8.3804564704022
"SDCBP2",3.05871578227477,3.13169245094564,165.9398143441,1.01937518600005e-07,0.000208351345039689,8.34031789079182
"LOC107984727",0.217228965370908,0.0724096551236362,164.105464838259,1.05831942418697e-07,0.000208351345039689,8.32609259643939
"LOC107987117",0.35687130532015,0.118957101773383,161.46512668389,1.11783116712496e-07,0.000209588020830373,8.30493160385994
"PMS1",-0.401089403763865,3.58778787606946,-153.336449087833,1.33057735448309e-07,0.000235115102720592,8.23428343523227
"RNPS1",-0.603043082934057,7.12004447096215,-151.902913568964,1.37340563889206e-07,0.000235115102720592,8.2208933414059
"LOC105377469",0.256731331323335,0.0855771104411117,147.917777424399,1.50224310871731e-07,0.000236634871335641,8.18206985379716
"MIR6780B",0.911529795544274,0.303843265181425,147.910810236652,1.50248178579545e-07,0.000236634871335641,8.18199984387267
"TYMSOS",-1.50867619596679,5.13372463846106,-145.16033753066,1.60067776298328e-07,0.000242036009720627,8.15375302842485
"LOC112268037",-1.17930233662956,5.43948489696691,-142.149041791876,1.71794644923962e-07,0.000242036009720627,8.12138041340422
"WIPI1",2.02579191831556,2.89734341164536,142.06959762157,1.72118867074149e-07,0.000242036009720627,8.120505063045
"TG",1.52996186714156,0.644908949440283,130.997708536426,2.26294594658452e-07,0.0003072456334511,7.98670262326116
"SAT1",2.04755924756837,7.95856603011235,123.632536170949,2.75062652197857e-07,0.000361010562254615,7.882899636778
"LY75-CD302",-0.19743137690745,0.688714695864833,-121.225049560275,2.93923913929926e-07,0.000373321296357319,7.84600308585079
"LIFR",2.87189898462273,4.07582977343725,114.844284582165,3.52721785960144e-07,0.000428639006875794,7.74026052137151
"FICD",1.76379118960021,4.12083181224942,114.221534968525,3.59249434319633e-07,0.000428639006875794,7.72927710441371
"TSC22D1",1.62792517824693,5.79378794252703,110.962374865569,3.96091678320021e-07,0.000447626708684921,7.66971805639882
"TMEM121B",1.5725600173683,1.56851941236019,110.812561810147,3.97900513129787e-07,0.000447626708684921,7.66689385253475
"CAMK2N1",-1.91113899335061,7.52418336253413,-108.761629297056,4.23775731026107e-07,0.000461743251221161,7.62743388045054
"AIDA",-2.38779217311445,8.47980284581196,-107.917156973129,4.35063276866665e-07,0.000461743251221161,7.61074430913489
"SMS",1.76899474966335,7.13444581854763,106.623869868544,4.5311716485885e-07,0.000461743251221161,7.58466850444844
"RANBP3L",-1.04195455411711,2.73850595361345,-106.329791454253,4.5735731187142e-07,0.000461743251221161,7.5786503516415
"SLC38A4",1.94598996517037,1.50357205678824,105.525969046638,4.69212632229971e-07,0.000461869454535572,7.56202948431345
"LAT2",1.15473596988167,2.52730760307709,104.615717145913,4.83123252243063e-07,0.000463963291068741,7.54290065876215
"TIGD6",0.526226650229921,3.77945543037117,101.507214331853,5.34854473709383e-07,0.00050141333447222,7.47501946219938
"ISG20",1.496489360584,2.60100037957145,100.498135389803,5.53181599322727e-07,0.000506534239342629,7.45209892894863
"H3P6",-0.365510769158577,8.7110027903137,-98.0649686120678,6.00845099991902e-07,0.000528004884656235,7.39495090817022
"MIR6076",0.694849674122181,0.231616558040727,97.9392734262807,6.03449479593909e-07,0.000528004884656235,7.39192437132131
"MANEA",-1.80022271661257,6.50312509675207,-97.1835529947877,6.1942035292943e-07,0.000528350242507931,7.37356972595685
"ILK",0.705485043177563,5.45999425976671,96.0673605996653,6.44026280927578e-07,0.000528350242507931,7.34595588923653
"MAPK9",-0.652762311766167,4.58800113165661,-96.0640794474502,6.44100463259529e-07,0.000528350242507931,7.3458738156761
"SIPA1L2",1.84783318753856,3.7959355390872,95.1395515746232,6.65451760984922e-07,0.00053028128853634,7.32253423811656
"SLC35F2",1.63222675764062,6.17134731031302,94.805567454974,6.7339016678054e-07,0.00053028128853634,7.31399700594996
"TIPARP",1.87520180240896,2.96710632915888,93.7096849953893,7.00316023903313e-07,0.000540671433826844,7.28558189001142
"DOP1A",0.549199489132207,3.67771829259325,92.2191627345283,7.39222663629287e-07,0.000546671836550349,7.24591969409675
"RUNX1",1.58450595526518,0.940713922348772,91.8656626671103,7.48858624703624e-07,0.000546671836550349,7.23633738875478
"ATP1A1",1.05207455963659,7.09875883122533,91.8336083560844,7.49740416866938e-07,0.000546671836550349,7.23546510834743
"ZBTB1",0.7443245389494,4.77112287092261,89.6596099864877,8.12824509774472e-07,0.000581893677233819,7.17496209082319
"EI24",-0.426271138800064,7.71397500543925,-88.1057742166197,8.62181867984761e-07,0.000606206229821999,7.13004348289562
"KRTAP13-3",0.178680142803433,0.0595600476011442,87.0548690462427,8.97783071250939e-07,0.000616182308198068,7.09883915251343
"USP54",1.2424549288776,6.28626394407291,86.3647205948052,9.222046430947e-07,0.000616182308198068,7.07797431775223
"ARFGAP3",1.14403353589226,6.62206572970635,86.3337998784017,9.23318844508711e-07,0.000616182308198068,7.07703249388804
"C12orf75-AS1",0.178107441161952,0.0593691470539842,85.4647003094879,9.55362828684324e-07,0.000626940933610276,7.050310703581
"HLF",-1.23448723521844,1.44714556047992,-84.7538844435934,9.82650040832787e-07,0.00063427643783197,7.02809211348487
"NDRG1",2.7157873465948,6.96134309200565,84.0658787981211,1.01003155788382e-06,0.000641435202582538,7.00626876671633
"NT5M",-0.871712721103001,2.62893471322739,-83.6021698948372,1.02904632302598e-06,0.000643137617822621,6.99138079567771
"TSPAN9",-0.273624751690394,3.69936213316453,-82.7033325685301,1.06724541767708e-06,0.00065658939180652,6.96210385007219
"SOX9",2.16588813548779,2.85702650405643,82.0814997948828,1.09475335094812e-06,0.000663151052926638,6.94152051683094
