GSM3378079	GSM3378080	GSM3378081	GSM3378082	GSM3378083	GSM3378084
DDX11L1	0.4077	0.7504	0.3377	0.4066	0.4248	0.3622
WASH7P	33.47	29.92	31.96	38.39	24.95	28.45
MIR6859-1	20.8	14.81	17.32	25.68	13.42	18.48
MIR1302-2HG	1.002	0.8641	0.6913	0.4994	0.6522	0.6674
MIR1302-2	0.4881	0.5615	0.4492	0.4867	0.5085	0.4336
FAM138A	0.1192	0.2057	0.05485	0.05944	0	0.1059
OR4F5	0	0	0	0	0	0
LOC100996442	1.528	1.488	1.875	2.073	1.563	1.773
LOC729737	2.966	2.364	1.868	2.577	2.115	2.471
DDX11L17	0.4192	0.6268	0.3086	0.3762	0.393	0.4096
WASH9P	34.23	29.39	31.43	38.22	25.62	28.92
MIR6859-2	16.84	17.09	16.41	18.77	15.48	16.72
LOC107985721	0.2738	0.2291	0.1833	0.1241	0.1815	0.1327
LOC112268260	0.4495	0.5524	0.5171	0.6011	0.4044	0.472
OR4F29	0.07174	0	0	0	0.07473	0.06373
LOC100132287	4.979	3.936	3.475	4.704	3.79	4.108
LOC105378947	0.23	0.2315	0.1587	0.2007	0.1497	0.1788
LOC101928626	0	0	0.07768	0.08417	0	0
MIR12136	3189	3703	3916	3944	3571	3814
OR4F16	0.2331	0.1341	0.1394	0.1046	0.1821	0.1656
LOC100133331	5.612	4.388	4.207	5.502	4.368	4.874
LOC107984841	5.383	3.933	3.481	5.078	3.562	3.748
LOC107984847	13.47	10.86	9.841	12.6	9.839	12.09
LOC107984849	3.127	3.044	3.321	4.318	3.509	3.419
LOC100288069	6.191	6.047	3.617	4.654	4.248	4.932
LINC01409	0.7735	0.6786	0.76	0.7713	0.6692	0.9434
FAM87B	1.247	1.395	1.945	1.831	1.697	1.785
LINC00115	3.529	4.177	4.801	5.559	4.263	4.044
LINC01128	7.157	7.2	7.58	7.304	8.885	10.03
LOC107984850	0.02745	0	0	0.08212	0.02859	0.04877
FAM41C	0.1579	0.1363	0.1453	0.1181	0.1645	0.3157
LOC284600	18.47	15.3	7.535	9.733	12.39	14.63
LINC02593	17.76	14.3	7.82	9.723	11.18	15.22
LOC107985728	4.877	4.314	2.771	3.5	4.196	4.694
SAMD11	20.15	18.88	14.28	15.68	19.26	22.16
NOC2L	193.5	188	156.4	169.1	187.3	203.6
KLHL17	23.15	21.3	18.2	21.01	25.2	27.17
PLEKHN1	11.2	9.499	9.859	12.08	10	10.88
PERM1	2.106	1.693	2.521	2.713	1.999	2.02
HES4	14.35	15.86	20.82	24	24.19	21.6
ISG15	115.2	114.9	97.8	106.3	90.77	84.17
AGRN	48	46.32	30.62	37.07	33.46	36.44
LOC100288175	5.325	5.728	7	7.517	5.836	5.038
LOC112267874	2.193	2.523	2.706	2.783	2.414	2.568
LOC105378948	5.467	5.811	6.602	7.131	5.912	6.066
RNF223	2.411	2.447	4.47	5.162	2.955	2.772
C1orf159	11.99	11.63	9.048	11.82	11.86	12.48
LINC01342	0	0	0	0	0	0
MIR200B	4.254	8.156	5.872	6.364	2.955	10.08
MIR200A	7.484	6.026	4.132	11.2	4.678	8.644
MIR429	14.61	15.87	17.18	24.28	8.454	15.86
TTLL10-AS1	0.01613	0.01855	0.01484	0	0.0168	0
TTLL10	0.03136	0.09018	0.05772	0.07818	0.01633	0.1254
TNFRSF18	0.7128	0.9145	0.3532	0.4101	0.6283	0.8037
TNFRSF4	0.0734	0.02111	0.05066	0.05489	0	0.0326
SDF4	103.8	103.4	118.1	131.3	92.33	96.16
B3GALT6	56.58	57.23	51.78	56.83	53.16	57.26
C1QTNF12	1.389	1.184	0.663	0.9237	0.4289	0.8686
UBE2J2	35.85	35.89	36.2	39.42	33.12	33.69
LINC01786	6.651	6.584	4.229	4.864	5.081	6.088
SCNN1D	9.153	8.017	5.703	6.818	6.755	7.955
ACAP3	39.56	34.91	33.04	41.05	34.28	39.59
MIR6726	3.313	3.811	2.032	2.202	1.15	2.943
SNORD167	25.66	16.6	19.19	20.79	15.87	17.81
PUSL1	31.58	32.81	31.7	39.58	35.73	34.96
INTS11	87.81	82.29	75.12	85.03	82.8	83.4
MIR6727	13.47	19.07	14.3	24.8	18.35	19.33
CPTP	32.45	30.8	31.53	34.66	35.21	35.01
TAS1R3	1.064	0.9237	0.6015	0.9684	0.8754	0.8129
DVL1	85.39	80.87	73.87	86.42	81.59	88.71
MIR6808	2.283	5.253	7.354	3.415	2.379	3.043
MXRA8	34.96	30	22.33	25.96	26.71	31.13
AURKAIP1	147.1	150.1	121.8	138.4	139.1	140
CCNL2	73.3	67.73	76.65	87.74	54.57	62.86
MRPL20-AS1	60.27	59.4	59.86	62.41	53.95	59.6
MRPL20	275	278.5	248.2	252.4	280.1	268.2
LOC107984868	0.2097	0.1407	0.08042	0.1046	0.07283	0.1553
ANKRD65	1.351	1.021	1.114	0.9854	1.429	0.9496
ANKRD65-AS1	0.9462	0.8163	0.5442	1.179	0.9857	1.208
TMEM88B	0	0	0.126	0	0.1426	0
LINC01770	5.021	5.191	4.724	5.738	4.819	5.363
LOC107985729	5.249	3.866	4.745	4.913	3.789	4.131
VWA1	36.78	36.72	30.63	36.35	42.13	43.52
ATAD3C	2.737	2.767	2.278	2.712	3.124	3.361
ATAD3B	23	21.1	18.59	23.47	21.24	26.16
ATAD3A	57.67	52.8	44.13	53.5	62.8	72.99
TMEM240	0.3414	0.3366	0.6284	0.7296	0.5589	0.65
SSU72	250.4	251.5	228.5	223.2	248.1	253
FNDC10	43.04	42.64	26.47	30.71	58.01	58.29
LOC105378586	7.772	7.857	5.527	4.58	11.41	11.51
MIB2	12.43	11.5	11.64	14	11.42	12.27
MMP23B	1.487	1.374	1.211	1.337	1.244	1.386
CDK11B	48.72	46.6	44.26	49.2	39.15	41.98
SLC35E2B	65.26	62.43	57.89	63.89	53.36	57.91
MMP23A	0.5204	0.3421	0.4105	2.076	2.324	0.4623
CDK11A	63.19	58	56.28	64.22	43.12	47.38
SLC35E2A	24.9	24.21	21.7	23.6	19.07	22.08
LOC112268218	9.845	8.732	9.029	10.41	8.944	9.718
NADK	57.05	55.46	55.58	59.55	54.94	57.37
GNB1	379.9	389.3	379.1	380.9	358.5	368.8
GNB1-DT	4.353	3.9	6.156	6.169	3.819	4.356
CALML6	1.2	0.7938	0.6627	0.5984	0.4063	0.8796
TMEM52	31.55	31.9	29.3	35.49	42.78	37.7
CFAP74	0.009103	0.02094	0.008376	0.03631	0.01897	0.01617
LOC107984872	0.04813	0.05536	0.02215	0.048	0.07521	0.1069
LOC105378589	0.01419	0	0	0	0	0.0126
GABRD	0.2365	0.1965	0.133	0.131	0.4791	0.4319
LOC105378590	0.03027	0.03482	0	0	0.03154	0.02689
PRKCZ-DT	0.8732	1.291	0.6887	0.4976	0.9096	0.2216
PRKCZ	11.85	11.38	10.92	11.64	10.93	10.87
PRKCZ-AS1	4.086	4.019	3.018	4.289	2.856	3.009
FAAP20	12.44	11.88	11.04	12.63	11.93	12.56
LOC112268219	13.67	12.79	21.28	26.53	16.1	16.47
LOC105378593	0.5227	0.3006	0.481	0.5212	0.4764	0.6385
SKI	24.18	24.41	25.62	27.24	29.42	32.15
MORN1	3.801	3.386	3.428	4.202	4.266	4.535
LOC100129534	4.525	3.274	3.143	4.034	4.058	3.966
RER1	119.8	123.5	194.1	207.5	141.6	148.6
PEX10	66.84	66.55	285.3	320.2	120.7	130.1
PLCH2	2.147	2.108	2.96	4.155	2.378	3.098
PANK4	18.97	17.94	16.19	17.95	18.08	20.03
HES5	0.07874	0	0.03623	0	0	0
TNFRSF14-AS1	1.254	1.325	0.926	1.251	0.8507	0.868
TNFRSF14	8.045	6.847	5.634	7.416	4.684	5.037
LOC100996583	0.772	0.555	0.8881	0.7699	1.206	0.6859
PRXL2B	57.99	57.57	50.56	55.88	67.87	72.24
MMEL1	10.26	9.677	13.19	15.52	13.64	14.57
MMEL1-AS1	0.1283	0.2214	0.1181	0.1279	0.2005	0.05699
TTC34	0.5804	0.5362	0.5428	0.5692	0.4658	0.524
LOC105378603	0	0	0	0	0	0
LOC105378602	0	0	0	0	0	0
LOC105378601	0	0	0	0	0	0.07702
LOC112268220	0	0	0.06223	0.06744	0	0.06008
LOC107985732	0	0	0	0.08172	0	0.0728
LOC105378600	0	0	0.07978	0	0.09031	0.07702
LOC105378598	0.02872	0.06607	0.02643	0.04296	0	0.01276
LOC107984904	0	0	0	0	0	0.0728
LOC105378599	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0
PRDM16-DT	0.0175	0	0	0	0	0
PRDM16	0.007744	0.03563	0.06414	0.06178	0.07261	0.04816
MIR4251	0	0	0	0	0	0
LOC105378606	0	0.01254	0	0	0	0
LOC107984909	0.05479	0.03151	0	0.02732	0.02854	0.04867
LOC105378605	0	0	0	0	0	0
LOC105378604	0.009966	0	0.004585	0	0	0
ARHGEF16	24.53	22.54	27.82	31.45	27.51	28.57
MEGF6	1.119	1.225	1.846	2.264	2.219	2.279
LOC105378608	0.2898	0.2051	0.1026	0.08891	0.09288	0.1188
MIR551A	0	0	0	0	0	0
LOC105378607	0	0	0	0	0	0
TPRG1L	64.36	61.44	66.06	64.09	56.58	57.52
WRAP73	27.92	28.76	24.1	26.63	28.39	32.36
TP73	2.104	1.989	1.424	1.507	2.368	2.546
TP73-AS3	0.3735	0.6803	0.2292	0.2173	0.7782	0.6637
LOC105378609	0.09501	0.1093	0.08743	0	0	0
TP73-AS1	21.71	20.77	18.33	19.43	17.43	19.48
CCDC27	0.4947	0.6323	0.2867	0.3106	0.5154	0.4395
SMIM1	6.466	6.22	6.382	7.737	7.348	6.475
LRRC47	48.72	46.53	41.9	44.4	48.37	51.12
CEP104	16.97	18.24	19.91	20.32	18.77	19.69
DFFB	5.941	5.165	4.595	4.875	7.285	7.314
LOC107984910	0.1186	0.2047	0.1092	0.1183	0.1854	0.2635
C1orf174	13.04	12.07	11.71	11.42	14.31	15.56
LINC01134	0.5521	0.6351	0.4128	0.3785	0.4314	0.5825
LINC01346	0	0	0	0	0	0
LINC01345	0	0	0	0	0	0
LINC02780	0.2445	0.07672	0.06137	0.08867	0.04632	0.1185
LINC01777	0.03248	0	0	0	0	0.02885
LOC105376674	0	0	0	0	0	0
LINC01646	0	0	0	0	0	0
LOC107985376	0	0	0	0	0	0
AJAP1	0.01031	0	0	0.05656	0.005372	0.004581
LINC02781	0	0	0	0	0	0
LOC102724429	0	0	0	0	0	0
LINC02782	0	0	0	0	0	0
LOC105376682	0	0	0	0	0	0
LOC107984911	0	0	0	0	0	0
LOC105376686	0	0	0	0	0	0
MIR4689	0	0	0	0	0	0.8549
NPHP4	5.095	4.998	4.829	6.351	6.374	7.491
KCNAB2	15.13	14.12	5.886	6.354	14.83	15.75
CHD5	0.3966	0.354	0.3461	0.3273	0.4844	0.5042
LOC105376687	0.6276	1.684	0	0	0.8717	0.7434
RPL22	342.8	348.3	307.1	290.1	362.5	342.2
LOC107985733	13.78	16.74	11.5	11.56	12.21	12.13
RNF207-AS1	1.604	3.69	2.46	1.955	1.114	1.741
RNF207	9.79	7.919	4.724	5.609	3.358	3.571
ICMT	53.75	55.48	47.79	48.32	84.62	87.68
ICMT-DT	0.6564	0.3303	0.5663	0.7773	0.8547	0.4738
HES3	0	0	0	0	0	0
GPR153	0.8712	0.7476	1.183	1.338	0.6195	0.7617
ACOT7	38.9	38.26	29.46	31.18	50.86	52.54
HES2	0.5057	0.3091	1.556	1.497	0.5598	0.6037
ESPN	1.831	1.628	0.4601	0.6903	0.9616	1.121
MIR4252	0	0	0	0	0	0
TNFRSF25	2.812	2.467	1.553	2.454	1.721	1.78
PLEKHG5	3.465	3.077	2.337	3.106	2.363	2.557
NOL9	9.765	9.634	7.189	6.727	10.5	11.11
TAS1R1	0.5856	0.5098	0.3204	0.2683	0.5111	0.5484
LOC107984912	0.4531	0.3475	0.278	0	0.3147	0.1342
ZBTB48	16.16	15.88	14.52	17.68	13.29	15.43
KLHL21	34.22	33.84	21.46	21.95	28.91	31.57
LOC107984913	0.7177	0.7469	0.2516	0.443	0.1068	0.2125
PHF13	18.78	18.08	12.08	11.9	17.1	18.81
THAP3	17.99	16.41	15.05	15.95	16.21	17.63
DNAJC11	60.39	61.38	50.28	53.03	58.43	65.27
LINC01672	0	0	0	0	0	0
CAMTA1-DT	3.417	4.211	3.93	2.799	3.051	4.662
CAMTA1	3.298	3.465	3.627	3.66	3.285	3.194
LOC105376692	0	0	0	0	0	0
CAMTA1-AS2	0	0	0	0	0	0
CAMTA1-AS1	0	0	0	0	0	0
LOC105376691	0	0	0	0	0	0
LOC105376689	3.329	3.297	3.198	3.567	1.916	2.787
VAMP3	72.02	71.18	74.68	74.8	71.08	72.6
PER3	8.057	8.12	4.396	4.448	9.161	9.298
UTS2	0.03958	0	0.03642	0	0.04123	0.03516
TNFRSF9	0.3236	0.2368	0.04511	0.088	0.0715	0.02613
PARK7	619.4	628.9	747.8	727	616.5	600.2
ERRFI1	12.36	12.51	157.6	157.9	17.37	19.58
LOC107984915	0.06203	0	0	0	0	0
LINC01714	0	0	0.1247	0	0	0
LOC105376695	0	0	0.3522	0	0	0
SLC45A1	0.5281	0.5163	0.8748	0.9479	0.5777	0.7976
RERE	16.19	14.21	17.46	18.84	12.46	13.82
RERE-AS1	1.553	1.451	1.518	1.355	0.6067	1.035
SNORD128	0	0	0	0	0	0
ENO1	1423	1449	1237	1231	1189	1230
MIR6728	3.027	4.353	0.6965	4.528	2.365	4.707
ENO1-AS1	15.52	15.77	13.73	15.78	14.44	15.13
LOC112268261	0.01092	0.01256	0.01004	0.02177	0.02274	0.03879
CA6	0	0	0	0	0	0
SLC2A7	0.06483	0	0.08949	0.09697	0.1351	0.1152
SLC2A5	0.01143	0.02631	0.01052	0.0228	0.01191	0.02032
GPR157	8.273	8.774	5.214	5.496	7.812	8.921
MIR34AHG	15.93	14.43	6.919	7.627	8.828	9.558
MIR34A	4.899	2.818	2.254	1.221	1.914	1.632
LNCTAM34A	10.22	8.995	5.239	6.088	6.145	6.825
H6PD	13.9	15.01	12.78	12.98	12.92	13.58
SPSB1	1.518	1.921	1.716	2.422	2.417	2.485
LINC02606	1.243	1.017	0.9153	0.9368	1.18	0.9818
SLC25A33	33.54	33.24	57.98	56.41	63.03	64.5
TMEM201	9.624	9.359	6.621	7.775	13.35	14.5
LOC107985734	1.65	1.195	0.9562	0.7924	2.292	2.226
LOC105376712	0	0	0	0	0	0
PIK3CD	36.91	34.03	34.18	36.93	30.83	32.26
PIK3CD-AS1	0	0	0	0	0	0
PIK3CD-AS2	9.773	9.948	6.664	6.871	8.424	7.058
CLSTN1	139.3	136.3	97.77	102.5	120.5	122.8
CTNNBIP1	31.39	31.48	36.47	34.05	33.6	33.99
LOC105376717	11.11	10.38	14.06	15.23	12.73	13.57
LZIC	25.01	27.08	19.86	20.39	24.03	25.69
NMNAT1	11.74	11.29	11.27	11.38	11.11	11.72
TMEM274P	0	0.1745	0.2792	0	0.158	0
MIR5697	0	0	0.7947	0	0	0
RBP7	3.448	3.505	4.723	4.638	4.762	4.915
UBE4B	35.28	36.02	33.82	33.45	33.74	35.27
KIF1B	25.35	27.38	21.29	20.89	25.5	25.51
LOC105376725	0.2324	0.2674	0.04278	0.04636	0.04843	0.0826
PGD	285	288.4	206.8	205.2	212.8	228
CENPS-CORT	18.36	18.79	14.34	14	21.62	22.73
CENPS	27.21	27.67	21.1	20.49	32.22	33.9
CORT	1.916	2.204	1.424	1.837	2.534	2.095
DFFA	28.04	28.57	22.29	22.23	30.46	31.77
PEX14	7.818	7.576	7.617	7.874	6.207	6.478
CASZ1	18.78	18.48	19.07	21.68	15.38	17.59
LOC105376733	0.5172	0.1785	0.09518	0.05157	0.1077	0.2527
LOC105376735	0	0	0	0	0	0
C1orf127	0.2077	0.07963	0	0.2071	0.04808	0.082
TARDBP	109.3	107.2	90.79	88.89	103.6	112
MASP2	2.657	2.076	2.168	2.9	2.011	2.65
SRM	256.6	259.2	244.1	266.1	272.1	290.6
EXOSC10	50.18	48.82	40.17	40.65	49.87	55.21
EXOSC10-AS1	10.1	10.72	6.433	8.189	9.017	11.53
MTOR	19.73	20.95	54.09	56.97	28.85	29.63
MTOR-AS1	3.149	3.512	9.219	8.468	4.671	5.425
ANGPTL7	0	0	0	0.02685	0	0.02392
UBIAD1	13.65	14.39	15.33	14.86	15.92	16.94
LOC105376737	0	0	0	0	0	0
LOC105376739	0	0	0	0.09835	0	0
LOC105376740	0	0	0.06573	0.07123	0.07441	0.06346
DISP3	0.0628	0.0516	0.01651	0.03579	0.06542	0.02391
LOC112268221	0.01839	0	0.01692	0.01834	0.01916	0.01634
LINC01647	0.05242	0	0.2894	0.3659	0.1092	0.2794
FBXO2	31.25	28.84	11.27	15.55	23.39	21.3
FBXO44	26.19	23.6	15.52	16.97	19.75	19.73
FBXO6	7.581	7.917	7.973	8.083	8.371	7.666
MAD2L2	28.94	28.5	28.85	29.04	34.85	33.26
DRAXIN	0.05237	0.04303	0.02066	0.02238	0.03897	0.05317
AGTRAP	175.4	179.2	234.7	255.1	171.9	177.9
C1orf167	2.799	2.859	3.775	3.899	2.105	2.19
C1orf167-AS1	0	0	0.03318	0	0	0.03203
MTHFR	11.6	11.82	16.51	16.69	8.582	9.038
CLCN6	9.889	8.728	14.66	15.84	7.868	8.733
NPPA-AS1	4.945	4.848	7.646	8.487	4.138	4.717
NPPA	2.442	1.269	3.045	2.985	1.641	1.54
NPPB	0	0	0	0.09487	0.09911	0
RNU5E-1	3.396	1.302	1.563	2.822	1.179	2.011
KIAA2013	61.03	61.35	58.67	60.69	67.28	68.31
PLOD1	143	149	174.4	183.3	150.2	153
MFN2	101.9	104.4	100.7	100.4	106.8	113.7
MIIP	25.22	22.95	31.46	39.52	23.51	25.78
MIR6729	3.109	3.576	2.861	3.1	4.318	2.762
TNFRSF8	0.3355	0.3308	0.2205	0.239	0.283	0.2271
MIR7846	0	0	0	0	0	0
TNFRSF1B	0.06517	0.1049	0.07197	0	0.05431	0.1042
MIR4632	0	0	0	0	0	0
LOC107984917	0	0	0	0	0	0
VPS13D	11.18	12.16	13.56	13.98	12.82	12.34
SNORA59A	4.875	4.588	5.301	5.745	5.078	3.15
LINC02766	0.03248	0	0	0.01619	0	0.04328
DHRS3	10.06	10.97	6.538	7.085	3.319	3.075
MIR6730	1.005	0	0	1.003	0	0
AADACL4	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0
CFAP107	0	0	0	0.01885	0.01969	0.01679
PRAMEF12	0.2272	0.2613	0.2091	0.151	0.1183	0.1682
PRAMEF1	0.02762	0	0	0	0	0.04907
LINC01784	0	0	0	0	0	0
PRAMEF11	0.02915	0.03353	0	0	0	0
HNRNPCL1	3.224	3.245	3.444	2.698	2.819	3.222
PRAMEF2	0	0	0	0.0347	0.03625	0.03091
PRAMEF4	0	0.04211	0.03369	0	0.03814	0
