GSM3378079	GSM3378080	GSM3378081	GSM3378082	GSM3378083	GSM3378084
DDX11L1	0.444077453590492	0.760785262999105	0.473674635812838	0.522641854483512	0.527696022508428	0.43272794409105
WASH7P	5.09432681148636	4.92707252536279	5.11274755284396	5.3255007129681	4.69150781508939	4.80786930050074
MIR6859-1	4.40554654858889	3.92923703440912	4.30797612117163	4.77173385059974	3.85490352085775	4.20470193516416
MIR1302-2HG	0.941765867838698	0.84081018275904	0.827972064650713	0.616093850520807	0.756509070589002	0.724606687797717
MIR1302-2	0.520490583784944	0.606173267076696	0.588719037457822	0.601648720201966	0.61305420118496	0.502253480235969
FAM138A	0.145186376871868	0.251494204113789	0.095514678457067	0.0867044004752668	0	0.137952383149115
OR4F5	0	0	0	0	0	0
LOC100996442	1.25556610034933	1.25793587990584	1.63724530759413	1.6733723603583	1.37608878829679	1.44218503567726
LOC729737	1.89254859644353	1.68596142377154	1.63370100194696	1.90514643330957	1.66805186123537	1.7606583599494
DDX11L17	0.45574517303561	0.667111113689882	0.443284668110595	0.491311567195114	0.49617063820784	0.47768220131037
WASH9P	5.12348479205242	4.90355629463026	5.09154681044539	5.31882496807377	4.72686417220272	4.83434023178229
MIR6859-2	4.10682739380779	4.11947742900853	4.23391514202355	4.37109818477897	4.03141388510183	4.07156159212114
LOC107985721	0.319374213401637	0.276544997585323	0.277816914052228	0.178300561024882	0.247903576845658	0.172064230486275
LOC112268260	0.48275479812726	0.597835664051567	0.653835382426084	0.711445515086016	0.506761421273216	0.545537028246449
OR4F29	0.08632923282249	0	0	0	0.106394053392657	0.084145940615884
LOC100132287	2.49684540083024	2.23002551792696	2.27621930942967	2.58732969254499	2.2825981033902	2.30431167411548
LOC105378947	0.273981930863383	0.278931361785795	0.243362990788846	0.276316691553611	0.210681496604021	0.229438542658877
LOC101928626	0	0	0.129205350415184	0.121270324564582	0	0
MIR12136	11.6741906451931	11.7895716772082	11.9775032132538	12.0143707793569	11.7895716772082	11.9209955552078
OR4F16	0.277359685662398	0.168925054379904	0.215967704233189	0.152243776806029	0.24873231427202	0.213180218909854
LOC100133331	2.64258042077457	2.35578068269685	2.49844502285321	2.77032228387245	2.44893733993534	2.49965565244016
LOC107984841	2.5916802946339	2.22838762415105	2.27838978461721	2.67121723539878	2.21781682658291	2.19751530173528
LOC107984847	3.79512882035571	3.50753285113667	3.55247051964029	3.83207364502491	3.44039288794302	3.64574498850972
LOC107984849	1.95540470646052	1.94276055079228	2.22605031199977	2.4851399033398	2.19913540404698	2.10917390985228
LOC100288069	2.75939485866307	2.74596594892469	2.32282978576434	2.57155417683313	2.40889704224607	2.51599779077069
LINC01409	0.762574953929642	0.703884683491171	0.883602681023959	0.859711900692726	0.771252241561396	0.960598023151983
FAM87B	1.09487252630231	1.19637433728318	1.67192928029562	1.54868607255617	1.45450563375542	1.44876726076242
LINC00115	2.08464893079535	2.29553171689785	2.66011526814369	2.78143101132004	2.41418239591487	2.28427547239556
LINC01128	2.94949205722493	2.96377530119653	3.22975954796275	3.13077273771137	3.30760970392797	3.40045210244239
LOC107984850	0.0311581153926466	0	0	0.118321609622362	0.0441572589524742	0.0643875511519534
FAM41C	0.189730040151407	0.171786942028122	0.223465316551858	0.169695400785675	0.227982944334087	0.382275496161734
LOC284600	4.23632036094543	3.97030912162819	3.22145909132609	3.50222234933177	3.74575701723589	3.89740637792003
LINC02593	4.18367219698243	3.87856073504714	3.26718060656031	3.50067706707066	3.61089274663457	3.94740868311302
LOC107985728	2.46813313014016	2.33885206752767	2.02333292466371	2.24514438503557	2.39624163687202	2.45883922486637
SAMD11	4.35688969068465	4.26199570320522	4.05378266567141	4.13261198037757	4.32554781806509	4.46134255419977
NOC2L	7.63397197259151	7.58609044757513	7.29919076388465	7.41078762311288	7.56101771112342	7.65979463209756
KLHL17	4.56020596151196	4.44013470333853	4.37174875444959	4.51044108541588	4.70409167047631	4.74922109102864
PLEKHN1	3.54607912299803	3.32912747201612	3.5550923390582	3.77735369414803	3.46197845740571	3.50066552975605
PERM1	1.5504953128227	1.36895276468452	1.92508667680166	1.96460449733747	1.60910489655649	1.5617471913052
HES4	3.88555620006024	4.01763409945709	4.54186618863254	4.68296324443707	4.65540135073517	4.42359006108099
ISG15	6.8879810577007	6.87484322698655	6.6366209413167	6.71752090669396	6.52403784518187	6.37426955839025
AGRN	5.61715389104104	5.5586529400732	5.05729600169114	5.27470992357553	5.10108599529278	5.16252383501466
LOC100288175	2.57429409587207	2.67562411473386	3.1304095786827	3.17007981178004	2.79281602375238	2.54207063014804
LOC112267874	1.58589570341638	1.75528140164247	2.0025181357594	1.99009384863492	1.78980064565485	1.80744150079866
LOC105378948	2.60911154903796	2.69926041896167	3.05094598547232	3.10061981313135	2.8078748685462	2.77414597075461
RNF223	1.67636991567838	1.72360689576697	2.55950071245055	2.69272069374945	2.00852193250106	1.88919450303882
C1orf159	3.63985375647818	3.601041279363	3.44821580242356	3.74666085873182	3.69466302232334	3.68894352623249
LINC01342	0	0	0	0	0	0
MIR200B	2.30540483057857	3.12143232454909	2.90343956800481	2.95577235066896	2.00852193250106	3.40683584412536
MIR200A	3.00828600225715	2.73945319589361	2.47351644993034	3.67009384347752	2.52487745882915	3.19478980661833
MIR429	3.90860876773752	4.01867893474831	4.29463977812913	4.6977170402938	3.24395119015014	4.00395866303119
TTLL10-AS1	0.0110105766297528	0.0267448846662653	0.0292599789671432	0	0.0283400169697087	0
TTLL10	0.0357780203151553	0.117794273444697	0.10012100418268	0.112858853019414	0.0277302307370221	0.162643950200735
TNFRSF18	0.715751640082451	0.879156439908328	0.491959338217119	0.525841607606159	0.733096848753648	0.851394368864222
TNFRSF4	0.0886332438090838	0.0302116391357162	0.0878921650490224	0.0803485701221575	0	0.0438725788056942
SDF4	6.738249119694	6.72492519762697	6.89102098413858	7.03660365640806	6.55695508939973	6.58490593320792
B3GALT6	5.84564676038477	5.85048598690034	5.77228883704262	5.87162794649502	5.75939804009831	5.81440418283765
C1QTNF12	1.17624117486016	1.0623523467301	0.802302897797619	0.975755657413374	0.532065279434158	0.902531510616492
UBE2J2	5.18622439858273	5.19016619321396	5.27433365449263	5.35853170635398	5.08477691262992	5.05197965333234
LINC01786	2.85113495373635	2.84981141485537	2.5037454436845	2.62104980647365	2.6213258869648	2.77907613341396
SCNN1D	3.27116946013137	3.09932742507643	2.86180781025053	3.04435439784374	2.96910538746165	3.10210144039975
ACAP3	5.33155681487798	5.1504278713883	5.15972107594393	5.41548229105258	5.13541895110007	5.28744395837173
MIR6726	2.01364825070903	2.18979119194944	1.71208884677287	1.74015905663052	1.12718363257396	1.94641224006294
SNORD167	4.71348911711793	4.07640308009428	4.43637140701248	4.49336097334625	4.06555164202321	4.16042825856517
PUSL1	5.00728641507246	5.05856574538122	5.10293422556607	5.36240232905842	5.19200648655335	5.10052484203941
INTS11	6.49024394229519	6.391680911497	6.26889364332861	6.41898836254912	6.38758961523295	6.35794629815373
MIR6727	3.79512882035571	4.27461645281234	4.05720457373728	4.72886128469781	4.25932651679124	4.26876441351819
CPTP	5.04549318307792	4.97029672328982	5.09640821314532	5.18550214597342	5.17044051705112	5.10181611999865
TAS1R3	0.982276099800561	0.885717075826679	0.736528696446623	1.00921556880761	0.926414283863228	0.858856244087523
DVL1	6.45405528682457	6.36389993366401	6.24426698212584	6.4466453304383	6.37104265982653	6.44962419747835
MIR6808	1.62423028945822	2.57306558491893	3.18999608815511	2.21617319768657	1.77481884599805	1.98581777937265
MXRA8	5.14853494731661	4.93158397803666	4.62700942629895	4.79088966495479	4.78811657726275	4.94073334009753
AURKAIP1	7.23084547717583	7.24161727273896	6.93068032316346	7.11829427162915	7.13336067182271	7.1214975164743
CCNL2	6.2288930914075	6.10517294576539	6.29907441449933	6.46528392600446	5.79092613045889	5.94554920773398
MRPL20-AS1	5.93880147330634	5.91024302822046	5.97336857990916	5.99358672762357	5.77299476020324	5.87130279106935
MRPL20	8.14366003694837	8.1521753836554	7.91952266013511	7.96108396477744	8.14916731954322	8.09368926415621
LOC107984868	0.250364965123636	0.176048053444868	0.133239348094779	0.152243776806029	0.103974025879171	0.199942125265965
ANKRD65	1.15480414875844	0.953698165006131	1.1760812211593	1.02411059783773	1.29786513349561	0.964484158567905
ANKRD65-AS1	0.904463811778723	0.803912680425929	0.6804170386948	1.16708514045039	1.00870805804687	1.12564014787612
TMEM88B	0	0	0.199355512312419	0	0.200192809308846	0
LINC01770	2.50850617301201	2.56142202306933	2.63901316059788	2.8169250912608	2.56317561513045	2.62312324966738
LOC107985729	2.55688472097267	2.20559111577049	2.64546803855748	2.63177412677734	2.2819770030697	2.31366247812897
VWA1	5.22174774244746	5.2204867805799	5.05758612763483	5.24412306565479	5.42762474920222	5.42511631690786
ATAD3C	1.80870631673422	1.83734554723418	1.81836549958967	1.96417210093485	2.06693996175537	2.08952392929258
ATAD3B	4.54976173515467	4.42734517928096	4.39761888024049	4.65185491865556	4.47179553211807	4.69309322065962
ATAD3A	5.87573293312026	5.73878194727211	5.54650901852726	5.79244282133911	5.98723285600625	6.16565416040693
TMEM240	0.382736593426782	0.391905499707524	0.763067851600437	0.817638812211015	0.666561315892482	0.709578720984389
SSU72	7.9888769341141	7.97546759332739	7.80773119062687	7.7836306627795	7.9839823314733	8.00431880875527
FNDC10	5.46152341872726	5.43498637347387	4.86062183467875	5.01937159847551	5.87704387843635	5.84389521859092
LOC105378586	3.05759182447759	3.07576330415329	2.82654843179912	2.55061541245904	3.637081472805	3.57980409030439
MIB2	3.6867952995105	3.58715433338527	3.76546693617765	3.97999855887449	3.63869462516642	3.66686393889578
MMP23B	1.22916413338741	1.18510394676909	1.24424152751399	1.27002039213217	1.19133947423363	1.23104205829316
CDK11B	5.63918346082855	5.56974777638491	5.55077378467849	5.66386989207008	5.32915032941393	5.37326918971476
SLC35E2B	6.0580682282444	5.98793632817871	5.92805942024874	6.029413431075	5.76239091065665	5.83253669623209
MMP23A	0.549239899521278	0.398201458855919	0.55120601085072	1.67501207462235	1.75276240206345	0.533938090248301
CDK11A	6.01139310983685	5.87298046586055	5.88307361424862	6.03595090969678	5.46621327079162	5.54199641518865
SLC35E2A	4.66640475164563	4.63010123667901	4.59533579012204	4.66158146884542	4.3140379190873	4.45430723083228
LOC112268218	3.36111572175555	3.21523852000686	3.44420985633653	3.57980409030439	3.31903505849441	3.35777784266082
NADK	5.8573545990028	5.80616497502631	5.86750100046344	5.93369447241385	5.80139586346464	5.82014997405893
GNB1	8.63645509406249	8.62967196087089	8.48499953825618	8.53317523470902	8.49212983417094	8.55490018436708
GNB1-DT	2.33179229722952	2.21627525761605	2.96167578042153	2.91329667739157	2.29363895902527	2.37382430644728
CALML6	1.06476753258326	0.787744798920365	0.801706454763173	0.709766910378892	0.508987390312881	0.909599793365602
TMEM52	5.00527346031608	5.0185562391062	4.99491365222872	5.21331500296767	5.45341460563601	5.21828549769483
CFAP74	0.00421146450709078	0.0298561373014499	0.0202166141982338	0.0532189846359993	0.0311980901519304	0.0162623574581912
LOC107984872	0.055879948950746	0.0741814770580563	0.0401914498548221	0.0698682848462029	0.106920701495647	0.139100875596014
LOC105378589	0.00836195684729222	0	0	0	0	0.00828101098760488
GABRD	0.280660641399283	0.241332655036206	0.20863927223377	0.188264750830614	0.586375863507851	0.50058966879356
LOC105378590	0.034459522988252	0.0484442477301378	0	0	0.0482188924940801	0.0351848669994556
PRKCZ-DT	0.841836948584825	1.12891120224668	0.825399200034416	0.613991193786963	0.951105783047219	0.279515576296228
PRKCZ	3.62394591982219	3.5722393608718	3.68494495654214	3.72797666165734	3.57849917808385	3.4978981703046
PRKCZ-AS1	2.25473187409739	2.25415903856892	2.11624954730298	2.4776584475662	1.96594847086324	1.97118767527554
FAAP20	3.68772594605798	3.63047080687636	3.70102906546096	3.83487449873314	3.70083538911261	3.69585937487293
LOC112268219	3.81577040938218	3.72617327473225	4.57378963475213	4.82086908781165	4.08744592248624	4.05163036590962
LOC105378593	0.551621995946198	0.355696428693175	0.624420866363543	0.64008089684622	0.58311251243738	0.700248695808024
SKI	4.62632153605725	4.64240087077519	4.81213752868095	4.85359559466312	4.92486821191987	4.98751659636065
MORN1	2.1749082603863	2.05001851532776	2.26159742315437	2.44819469304685	2.4155083093148	2.42497939845833
LOC100129534	2.38000469535836	2.01429941649255	2.16284107994989	2.40152738115786	2.36039139919362	2.2613314596745
RER1	6.94780064846807	6.97522101777359	7.58609044757513	7.69013714062461	7.16038939540636	7.2025398210421
PEX10	6.09370976197901	6.08078055555099	8.12340764671485	8.28235484778603	6.93786581288446	6.9976987555046
PLCH2	1.56667985404459	1.56680027559423	2.09604179042688	2.43619342547593	1.77428683147982	2.00143191870979
PANK4	4.27368401833464	4.19288728988844	4.21707445253412	4.32257076679246	4.24296430161094	4.31367638080628
HES5	0.0961332908394013	0	0.0642910145119445	0	0	0
TNFRSF14-AS1	1.09942546895736	1.1528679568287	1.03318909016642	1.21452409651225	0.90356479694669	0.901668761014015
TNFRSF14	3.09597525667121	2.89740217782312	2.84899814462954	3.15185270467132	2.52781718797174	2.54114492003084
LOC100996583	0.760633560405142	0.600113461469682	1.00080389168426	0.857845341491255	1.17007572367246	0.742640523547151
PRXL2B	5.88503089095868	5.85880884510891	5.7345479175707	5.84973734078938	6.10479421418351	6.15171248190575
MMEL1	3.42445708122884	3.3520153163957	3.94053618754251	4.12032293928955	3.87661302035354	3.89274426664048
MMEL1-AS1	0.156156280159661	0.268391829709759	0.188391085551438	0.18317443703261	0.269720196347839	0.0750509300825247
TTC34	0.605389287341059	0.583568766758535	0.678762693480348	0.679873406256003	0.573458236428693	0.594989757151831
LOC105378603	0	0	0	0	0	0
LOC105378602	0	0	0	0	0	0
LOC105378601	0	0	0	0	0	0.101517337180741
LOC112268220	0	0	0.106211067967048	0.0970256250599531	0	0.0792535001158537
LOC107985732	0	0	0	0.117662851743384	0	0.096064616129818
LOC105378600	0	0	0.13261390977883	0	0.127345167133263	0.101517337180741
LOC105378598	0.032725232878671	0.088222183869462	0.0474075672799013	0.0629819196312837	0	0.00836195684729222
LOC107984904	0	0	0	0	0	0.096064616129818
LOC105378599	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0
PRDM16-DT	0.0155397454052761	0	0	0	0	0
PRDM16	0.00362787696135471	0.0496314079118285	0.108990269775779	0.0896543977074598	0.103533398718128	0.0634167759338645
MIR4251	0	0	0	0	0	0
LOC105378606	0	0.0198530478246096	0	0	0	0
LOC107984909	0.0641575026017508	0.0436612135165294	0	0.0385854882250838	0.0441001058959841	0.0642818122659894
LOC105378605	0	0	0	0	0	0
LOC105378604	0.00458551990507962	0	0.0159365314156869	0	0	0
ARHGEF16	4.64791707953006	4.51875410812331	4.92274972261662	5.05005623293725	4.83071845610502	4.8129986320732
MEGF6	1.01613196852079	1.08802535176158	1.62337410206558	1.77414266585058	1.71018516253791	1.67528042898411
LOC105378608	0.334602533555768	0.251090861584907	0.16723500308215	0.129500627662438	0.130977982576072	0.153975263490898
MIR551A	0	0	0	0	0	0
LOC105378607	0	0	0	0	0	0
TPRG1L	6.0415502564875	5.96177564299874	6.1011880716909	6.0331719983895	5.84125437499769	5.82423712631447
WRAP73	4.83185881203188	4.87288225483709	4.72363894992706	4.82657757699531	4.87353639579043	4.99664104532979
TP73	1.54868607255617	1.51256458755693	1.38406619875439	1.37534947269571	1.77130607708685	1.79813587792432
TP73-AS3	0.41397021001435	0.705250091482998	0.34209220201235	0.296771976756256	0.849592333151472	0.721873242989504
LOC105378609	0.117049824533311	0.140241860775363	0.143827776287407	0	0	0
TP73-AS1	4.47109478987625	4.40357222183241	4.38185986804259	4.41207969299153	4.19190405039861	4.27726263877224
