probe_id	symbol
1	100287102	DDX11L1
2	653635	WASH7P
3	102466751	MIR6859-1
4	107985730	MIR1302-2HG
5	100302278	MIR1302-2
6	645520	FAM138A
7	79501	OR4F5
8	100996442	LOC100996442
9	729737	LOC729737
10	102725121	DDX11L17
11	102723897	WASH9P
12	102465909	MIR6859-2
13	107985721	LOC107985721
14	112268260	LOC112268260
15	729759	OR4F29
16	100132287	LOC100132287
17	105378947	LOC105378947
18	101928626	LOC101928626
19	113219467	MIR12136
20	81399	OR4F16
21	100133331	LOC100133331
22	107984841	LOC107984841
23	107984847	LOC107984847
24	107984849	LOC107984849
25	100288069	LOC100288069
26	105378580	LINC01409
27	400728	FAM87B
28	79854	LINC00115
29	643837	LINC01128
30	107984850	LOC107984850
31	284593	FAM41C
32	284600	LOC284600
33	100130417	LINC02593
34	107985728	LOC107985728
35	148398	SAMD11
36	26155	NOC2L
37	339451	KLHL17
38	84069	PLEKHN1
39	84808	PERM1
40	57801	HES4
41	9636	ISG15
42	375790	AGRN
43	100288175	LOC100288175
44	112267874	LOC112267874
45	105378948	LOC105378948
46	401934	RNF223
47	54991	C1orf159
48	254099	LINC01342
49	406984	MIR200B
50	406983	MIR200A
51	554210	MIR429
52	100506376	TTLL10-AS1
53	254173	TTLL10
54	8784	TNFRSF18
55	7293	TNFRSF4
56	51150	SDF4
57	126792	B3GALT6
58	388581	C1QTNF12
59	118424	UBE2J2
60	101928895	LINC01786
61	6339	SCNN1D
62	116983	ACAP3
63	102465434	MIR6726
64	109623456	SNORD167
65	126789	PUSL1
66	54973	INTS11
67	102465435	MIR6727
68	80772	CPTP
69	83756	TAS1R3
70	1855	DVL1
71	102466740	MIR6808
72	54587	MXRA8
73	54998	AURKAIP1
74	81669	CCNL2
75	148413	MRPL20-AS1
76	55052	MRPL20
77	107984868	LOC107984868
78	441869	ANKRD65
79	105378585	ANKRD65-AS1
80	643965	TMEM88B
81	102724312	LINC01770
82	107985729	LOC107985729
83	64856	VWA1
84	219293	ATAD3C
85	83858	ATAD3B
86	55210	ATAD3A
87	339453	TMEM240
88	29101	SSU72
89	643988	FNDC10
90	105378586	LOC105378586
91	142678	MIB2
92	8510	MMP23B
93	984	CDK11B
94	728661	SLC35E2B
95	8511	MMP23A
96	728642	CDK11A
97	9906	SLC35E2A
98	112268218	LOC112268218
99	65220	NADK
100	2782	GNB1
101	105378949	GNB1-DT
102	163688	CALML6
103	339456	TMEM52
104	85452	CFAP74
105	107984872	LOC107984872
106	105378589	LOC105378589
107	2563	GABRD
108	105378590	LOC105378590
109	105378591	PRKCZ-DT
110	5590	PRKCZ
111	100506504	PRKCZ-AS1
112	199990	FAAP20
113	112268219	LOC112268219
114	105378593	LOC105378593
115	6497	SKI
116	79906	MORN1
117	100129534	LOC100129534
118	11079	RER1
119	5192	PEX10
120	9651	PLCH2
121	55229	PANK4
122	388585	HES5
123	115110	TNFRSF14-AS1
124	8764	TNFRSF14
125	100996583	LOC100996583
126	127281	PRXL2B
127	79258	MMEL1
128	105378597	MMEL1-AS1
129	100287898	TTC34
130	105378603	LOC105378603
131	105378602	LOC105378602
132	105378601	LOC105378601
133	112268220	LOC112268220
134	107985732	LOC107985732
135	105378600	LOC105378600
136	105378598	LOC105378598
137	107984904	LOC107984904
138	105378599	LOC105378599
139	140625	ACTRT2
140	440556	PRDM16-DT
141	63976	PRDM16
142	100422968	MIR4251
143	105378606	LOC105378606
144	107984909	LOC107984909
145	105378605	LOC105378605
146	105378604	LOC105378604
147	27237	ARHGEF16
148	1953	MEGF6
149	105378608	LOC105378608
150	693135	MIR551A
151	105378607	LOC105378607
152	127262	TPRG1L
153	49856	WRAP73
154	7161	TP73
155	105378610	TP73-AS3
156	105378609	LOC105378609
157	57212	TP73-AS1
158	148870	CCDC27
159	388588	SMIM1
160	57470	LRRC47
161	9731	CEP104
162	1677	DFFB
163	107984910	LOC107984910
164	339448	C1orf174
165	100133612	LINC01134
166	728716	LINC01346
167	105376672	LINC01345
168	105376673	LINC02780
169	284661	LINC01777
170	105376674	LOC105376674
171	105376679	LINC01646
172	107985376	LOC107985376
173	55966	AJAP1
174	105376680	LINC02781
175	102724429	LOC102724429
176	105376681	LINC02782
177	105376682	LOC105376682
178	107984911	LOC107984911
179	105376686	LOC105376686
180	100616421	MIR4689
181	261734	NPHP4
182	8514	KCNAB2
183	26038	CHD5
184	105376687	LOC105376687
185	6146	RPL22
186	107985733	LOC107985733
187	102724450	RNF207-AS1
188	388591	RNF207
189	23463	ICMT
190	148645	ICMT-DT
191	390992	HES3
192	387509	GPR153
193	11332	ACOT7
194	54626	HES2
195	83715	ESPN
196	100422975	MIR4252
197	8718	TNFRSF25
198	57449	PLEKHG5
199	79707	NOL9
200	80835	TAS1R1
201	107984912	LOC107984912
202	3104	ZBTB48
203	9903	KLHL21
204	107984913	LOC107984913
205	148479	PHF13
206	90326	THAP3
207	55735	DNAJC11
208	100505887	LINC01672
209	110841581	CAMTA1-DT
210	23261	CAMTA1
211	105376692	LOC105376692
212	102725193	CAMTA1-AS2
213	101928836	CAMTA1-AS1
214	105376691	LOC105376691
215	105376689	LOC105376689
216	9341	VAMP3
217	8863	PER3
218	10911	UTS2
219	3604	TNFRSF9
220	11315	PARK7
221	54206	ERRFI1
222	107984915	LOC107984915
223	102724539	LINC01714
224	105376695	LOC105376695
225	50651	SLC45A1
226	473	RERE
227	102724552	RERE-AS1
228	106632271	SNORD128
229	2023	ENO1
230	102465436	MIR6728
231	100505975	ENO1-AS1
232	112268261	LOC112268261
233	765	CA6
234	155184	SLC2A7
235	6518	SLC2A5
236	80045	GPR157
237	106614088	MIR34AHG
238	407040	MIR34A
239	102724571	LNCTAM34A
240	9563	H6PD
241	80176	SPSB1
242	100506022	LINC02606
243	84275	SLC25A33
244	199953	TMEM201
245	107985734	LOC107985734
246	105376712	LOC105376712
247	5293	PIK3CD
248	644997	PIK3CD-AS1
249	101929074	PIK3CD-AS2
250	22883	CLSTN1
251	56998	CTNNBIP1
252	105376717	LOC105376717
253	84328	LZIC
254	64802	NMNAT1
255	113391335	TMEM274P
256	100847055	MIR5697
257	116362	RBP7
258	10277	UBE4B
259	23095	KIF1B
260	105376725	LOC105376725
261	5226	PGD
262	100526739	CENPS-CORT
263	378708	CENPS
264	1325	CORT
265	1676	DFFA
266	5195	PEX14
267	54897	CASZ1
268	105376733	LOC105376733
269	105376735	LOC105376735
270	148345	C1orf127
271	23435	TARDBP
272	10747	MASP2
273	6723	SRM
274	5394	EXOSC10
275	105376736	EXOSC10-AS1
276	2475	MTOR
277	100873935	MTOR-AS1
278	10218	ANGPTL7
279	29914	UBIAD1
280	105376737	LOC105376737
